geo,proorismos,typos,nyxtes,pososto,typos_onoma,proorismos_onoma,einai_athroisma,xora,kratos_melos,xora_krisis,einai_ellada,einai_ee
HR,DOM,NR_OWN,6919283.0,34.2,Δικό τους σπίτι,Εντός της χώρας,False,Κροατία,True,False,False,False
HU,DOM,NR_OWN,4825413.0,15.1,Δικό τους σπίτι,Εντός της χώρας,False,Ουγγαρία,True,False,False,False
IE,DOM,NR_OWN,2177057.0,7.5,Δικό τους σπίτι,Εντός της χώρας,False,Ιρλανδία,True,True,False,False
IT,DOM,NR_OWN,26605736.0,14.7,Δικό τους σπίτι,Εντός της χώρας,False,Ιταλία,True,True,False,False
LT,DOM,NR_OWN,1657792.0,17.8,Δικό τους σπίτι,Εντός της χώρας,False,Λιθουανία,True,False,False,False
LU,DOM,NR_OWN,,,Δικό τους σπίτι,Εντός της χώρας,False,Λουξεμβούργο,True,False,False,False
LV,DOM,NR_OWN,1349526.0,19.7,Δικό τους σπίτι,Εντός της χώρας,False,Λετονία,True,False,False,False
MT,DOM,NR_OWN,231742.0,20.8,Δικό τους σπίτι,Εντός της χώρας,False,Μάλτα,True,False,False,False
NL,DOM,NR_OWN,9395647.0,12.4,Δικό τους σπίτι,Εντός της χώρας,False,Ολλανδία,True,False,False,False
PL,DOM,NR_OWN,11903928.0,5.2,Δικό τους σπίτι,Εντός της χώρας,False,Πολωνία,True,False,False,False
PT,DOM,NR_OWN,14297279.0,25.3,Δικό τους σπίτι,Εντός της χώρας,False,Πορτογαλία,True,True,False,False
RO,DOM,NR_OWN,2651255.0,4.1,Δικό τους σπίτι,Εντός της χώρας,False,Ρουμανία,True,False,False,False
SE,DOM,NR_OWN,46798200.0,27.8,Δικό τους σπίτι,Εντός της χώρας,False,Σουηδία,True,False,False,False
SI,DOM,NR_OWN,1865593.0,24.9,Δικό τους σπίτι,Εντός της χώρας,False,Σλοβενία,True,False,False,False
SK,DOM,NR_OWN,953430.0,4.1,Δικό τους σπίτι,Εντός της χώρας,False,Σλοβακία,True,False,False,False
AT,DOM,NR_RF,10554866.0,24.9,Συγγενείς και φίλοι,Εντός της χώρας,False,Αυστρία,True,False,False,False
BE,DOM,NR_RF,2963078.0,18.2,Συγγενείς και φίλοι,Εντός της χώρας,False,Βέλγιο,True,False,False,False
BG,DOM,NR_RF,3234278.0,22.0,Συγγενείς και φίλοι,Εντός της χώρας,False,Βουλγαρία,True,False,False,False
CY,DOM,NR_RF,701589.0,14.9,Συγγενείς και φίλοι,Εντός της χώρας,False,Κύπρος,True,True,False,False
CZ,DOM,NR_RF,24636857.0,32.3,Συγγενείς και φίλοι,Εντός της χώρας,False,Τσεχία,True,False,False,False
DE,DOM,NR_RF,148737343.0,28.8,Συγγενείς και φίλοι,Εντός της χώρας,False,Γερμανία,True,False,False,False
DK,DOM,NR_RF,14743973.0,34.3,Συγγενείς και φίλοι,Εντός της χώρας,False,Δανία,True,False,False,False
EE,DOM,NR_RF,3264063.0,50.1,Συγγενείς και φίλοι,Εντός της χώρας,False,Εσθονία,True,False,False,False
EL,DOM,NR_RF,14165439.0,23.4,Συγγενείς και φίλοι,Εντός της χώρας,False,Ελλάδα,True,True,True,False
ES,DOM,NR_RF,184306265.0,37.3,Συγγενείς και φίλοι,Εντός της χώρας,False,Ισπανία,True,True,False,False
EU27_2020,DOM,NR_RF,1102423259.0,35.9,Συγγενείς και φίλοι,Εντός της χώρας,False,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,NR_RF,32756772.0,41.5,Συγγενείς και φίλοι,Εντός της χώρας,False,Φινλανδία,True,False,False,False
FR,DOM,NR_RF,356787176.0,43.9,Συγγενείς και φίλοι,Εντός της χώρας,False,Γαλλία,True,False,False,False
HR,DOM,NR_RF,5361949.0,26.5,Συγγενείς και φίλοι,Εντός της χώρας,False,Κροατία,True,False,False,False
HU,DOM,NR_RF,9309197.0,29.2,Συγγενείς και φίλοι,Εντός της χώρας,False,Ουγγαρία,True,False,False,False
IE,DOM,NR_RF,12244341.0,42.1,Συγγενείς και φίλοι,Εντός της χώρας,False,Ιρλανδία,True,True,False,False
IT,DOM,NR_RF,55562021.0,30.7,Συγγενείς και φίλοι,Εντός της χώρας,False,Ιταλία,True,True,False,False
LT,DOM,NR_RF,2158144.0,23.2,Συγγενείς και φίλοι,Εντός της χώρας,False,Λιθουανία,True,False,False,False
LU,DOM,NR_RF,190664.0,37.3,Συγγενείς και φίλοι,Εντός της χώρας,False,Λουξεμβούργο,True,False,False,False
LV,DOM,NR_RF,4023225.0,58.7,Συγγενείς και φίλοι,Εντός της χώρας,False,Λετονία,True,False,False,False
MT,DOM,NR_RF,204731.0,18.3,Συγγενείς και φίλοι,Εντός της χώρας,False,Μάλτα,True,False,False,False
NL,DOM,NR_RF,12353365.0,16.3,Συγγενείς και φίλοι,Εντός της χώρας,False,Ολλανδία,True,False,False,False
PL,DOM,NR_RF,80903016.0,35.3,Συγγενείς και φίλοι,Εντός της χώρας,False,Πολωνία,True,False,False,False
PT,DOM,NR_RF,25003153.0,44.2,Συγγενείς και φίλοι,Εντός της χώρας,False,Πορτογαλία,True,True,False,False
RO,DOM,NR_RF,29758327.0,45.7,Συγγενείς και φίλοι,Εντός της χώρας,False,Ρουμανία,True,False,False,False
SE,DOM,NR_RF,58421568.0,34.7,Συγγενείς και φίλοι,Εντός της χώρας,False,Σουηδία,True,False,False,False
SI,DOM,NR_RF,2858348.0,38.2,Συγγενείς και φίλοι,Εντός της χώρας,False,Σλοβενία,True,False,False,False
SK,DOM,NR_RF,7219511.0,30.8,Συγγενείς και φίλοι,Εντός της χώρας,False,Σλοβακία,True,False,False,False
AT,DOM,R_APT,3312817.0,7.8,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Αυστρία,True,False,False,False
BE,DOM,R_APT,6294934.0,38.7,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Βέλγιο,True,False,False,False
BG,DOM,R_APT,1654470.0,11.3,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Βουλγαρία,True,False,False,False
CY,DOM,R_APT,612044.0,13.0,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Κύπρος,True,True,False,False
CZ,DOM,R_APT,4085671.0,5.3,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Τσεχία,True,False,False,False
DE,DOM,R_APT,95696038.0,18.5,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Γερμανία,True,False,False,False
DK,DOM,R_APT,9411050.0,21.9,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Δανία,True,False,False,False
EE,DOM,R_APT,666895.0,10.2,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Εσθονία,True,False,False,False
EL,DOM,R_APT,6497288.0,10.7,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ελλάδα,True,True,True,False
ES,DOM,R_APT,63559051.0,12.9,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ισπανία,True,True,False,False
EU27_2020,DOM,R_APT,460036349.0,15.0,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,R_APT,7046319.0,8.9,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Φινλανδία,True,False,False,False
FR,DOM,R_APT,136708487.0,16.8,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Γαλλία,True,False,False,False
HR,DOM,R_APT,3417492.0,16.9,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Κροατία,True,False,False,False
HU,DOM,R_APT,2137047.0,6.7,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ουγγαρία,True,False,False,False
IE,DOM,R_APT,2658518.0,9.1,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ιρλανδία,True,True,False,False
IT,DOM,R_APT,21419843.0,11.8,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ιταλία,True,True,False,False
LT,DOM,R_APT,2008237.0,21.6,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Λιθουανία,True,False,False,False
LU,DOM,R_APT,39651.0,7.8,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Λουξεμβούργο,True,False,False,False
LV,DOM,R_APT,363059.0,5.3,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Λετονία,True,False,False,False
MT,DOM,R_APT,413067.0,37.0,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Μάλτα,True,False,False,False
NL,DOM,R_APT,24991685.0,33.0,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ολλανδία,True,False,False,False
PL,DOM,R_APT,38967488.0,17.0,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Πολωνία,True,False,False,False
PT,DOM,R_APT,6614952.0,11.7,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Πορτογαλία,True,True,False,False
RO,DOM,R_APT,3607072.0,5.5,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Ρουμανία,True,False,False,False
SE,DOM,R_APT,14892865.0,8.9,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Σουηδία,True,False,False,False
SI,DOM,R_APT,833006.0,11.1,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Σλοβενία,True,False,False,False
SK,DOM,R_APT,2127302.0,9.1,Ενοικιαζόμενο διαμέρισμα,Εντός της χώρας,False,Σλοβακία,True,False,False,False
AT,DOM,R_CAMP,1696542.0,4.0,Κάμπινγκ,Εντός της χώρας,False,Αυστρία,True,False,False,False
BE,DOM,R_CAMP,1504589.0,9.3,Κάμπινγκ,Εντός της χώρας,False,Βέλγιο,True,False,False,False
BG,DOM,R_CAMP,280838.0,1.9,Κάμπινγκ,Εντός της χώρας,False,Βουλγαρία,True,False,False,False
CY,DOM,R_CAMP,,,Κάμπινγκ,Εντός της χώρας,False,Κύπρος,True,True,False,False
CZ,DOM,R_CAMP,3823615.0,5.0,Κάμπινγκ,Εντός της χώρας,False,Τσεχία,True,False,False,False
DE,DOM,R_CAMP,46166328.0,8.9,Κάμπινγκ,Εντός της χώρας,False,Γερμανία,True,False,False,False
DK,DOM,R_CAMP,3074155.0,7.2,Κάμπινγκ,Εντός της χώρας,False,Δανία,True,False,False,False
EE,DOM,R_CAMP,,,Κάμπινγκ,Εντός της χώρας,False,Εσθονία,True,False,False,False
EL,DOM,R_CAMP,530579.0,0.9,Κάμπινγκ,Εντός της χώρας,False,Ελλάδα,True,True,True,False
ES,DOM,R_CAMP,12830648.0,2.6,Κάμπινγκ,Εντός της χώρας,False,Ισπανία,True,True,False,False
EU27_2020,DOM,R_CAMP,175320487.0,5.7,Κάμπινγκ,Εντός της χώρας,False,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,R_CAMP,1936336.0,2.5,Κάμπινγκ,Εντός της χώρας,False,Φινλανδία,True,False,False,False
FR,DOM,R_CAMP,64667764.0,8.0,Κάμπινγκ,Εντός της χώρας,False,Γαλλία,True,False,False,False
HR,DOM,R_CAMP,900605.0,4.5,Κάμπινγκ,Εντός της χώρας,False,Κροατία,True,False,False,False
HU,DOM,R_CAMP,655111.0,2.1,Κάμπινγκ,Εντός της χώρας,False,Ουγγαρία,True,False,False,False
IE,DOM,R_CAMP,1433592.0,4.9,Κάμπινγκ,Εντός της χώρας,False,Ιρλανδία,True,True,False,False
IT,DOM,R_CAMP,7641807.0,4.2,Κάμπινγκ,Εντός της χώρας,False,Ιταλία,True,True,False,False
LT,DOM,R_CAMP,60315.0,0.6,Κάμπινγκ,Εντός της χώρας,False,Λιθουανία,True,False,False,False
LU,DOM,R_CAMP,,,Κάμπινγκ,Εντός της χώρας,False,Λουξεμβούργο,True,False,False,False
LV,DOM,R_CAMP,180692.0,2.6,Κάμπινγκ,Εντός της χώρας,False,Λετονία,True,False,False,False
MT,DOM,R_CAMP,,,Κάμπινγκ,Εντός της χώρας,False,Μάλτα,True,False,False,False
NL,DOM,R_CAMP,13833352.0,18.2,Κάμπινγκ,Εντός της χώρας,False,Ολλανδία,True,False,False,False
PL,DOM,R_CAMP,3791349.0,1.7,Κάμπινγκ,Εντός της χώρας,False,Πολωνία,True,False,False,False
PT,DOM,R_CAMP,1247581.0,2.2,Κάμπινγκ,Εντός της χώρας,False,Πορτογαλία,True,True,False,False
RO,DOM,R_CAMP,426869.0,0.7,Κάμπινγκ,Εντός της χώρας,False,Ρουμανία,True,False,False,False
SE,DOM,R_CAMP,7798649.0,4.6,Κάμπινγκ,Εντός της χώρας,False,Σουηδία,True,False,False,False
SI,DOM,R_CAMP,406667.0,5.4,Κάμπινγκ,Εντός της χώρας,False,Σλοβενία,True,False,False,False
SK,DOM,R_CAMP,205430.0,0.9,Κάμπινγκ,Εντός της χώρας,False,Σλοβακία,True,False,False,False
AT,DOM,R_HOT,18972024.0,44.7,Ξενοδοχείο,Εντός της χώρας,False,Αυστρία,True,False,False,False
BE,DOM,R_HOT,2516621.0,15.5,Ξενοδοχείο,Εντός της χώρας,False,Βέλγιο,True,False,False,False
BG,DOM,R_HOT,7162566.0,48.7,Ξενοδοχείο,Εντός της χώρας,False,Βουλγαρία,True,False,False,False
CY,DOM,R_HOT,1330770.0,28.2,Ξενοδοχείο,Εντός της χώρας,False,Κύπρος,True,True,False,False
CZ,DOM,R_HOT,14522085.0,19.0,Ξενοδοχείο,Εντός της χώρας,False,Τσεχία,True,False,False,False
DE,DOM,R_HOT,156163633.0,30.2,Ξενοδοχείο,Εντός της χώρας,False,Γερμανία,True,False,False,False
DK,DOM,R_HOT,4726296.0,11.0,Ξενοδοχείο,Εντός της χώρας,False,Δανία,True,False,False,False
EE,DOM,R_HOT,1596278.0,24.5,Ξενοδοχείο,Εντός της χώρας,False,Εσθονία,True,False,False,False
EL,DOM,R_HOT,7032432.0,11.6,Ξενοδοχείο,Εντός της χώρας,False,Ελλάδα,True,True,True,False
ES,DOM,R_HOT,83172990.0,16.8,Ξενοδοχείο,Εντός της χώρας,False,Ισπανία,True,True,False,False
EU27_2020,DOM,R_HOT,575264724.0,18.7,Ξενοδοχείο,Εντός της χώρας,False,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,R_HOT,7208129.0,9.1,Ξενοδοχείο,Εντός της χώρας,False,Φινλανδία,True,False,False,False
FR,DOM,R_HOT,60316853.0,7.4,Ξενοδοχείο,Εντός της χώρας,False,Γαλλία,True,False,False,False
HR,DOM,R_HOT,3002776.0,14.9,Ξενοδοχείο,Εντός της χώρας,False,Κροατία,True,False,False,False
HU,DOM,R_HOT,14188558.0,44.5,Ξενοδοχείο,Εντός της χώρας,False,Ουγγαρία,True,False,False,False
IE,DOM,R_HOT,8831642.0,30.4,Ξενοδοχείο,Εντός της χώρας,False,Ιρλανδία,True,True,False,False
IT,DOM,R_HOT,45446296.0,25.1,Ξενοδοχείο,Εντός της χώρας,False,Ιταλία,True,True,False,False
LT,DOM,R_HOT,2444454.0,26.3,Ξενοδοχείο,Εντός της χώρας,False,Λιθουανία,True,False,False,False
LU,DOM,R_HOT,88265.0,17.3,Ξενοδοχείο,Εντός της χώρας,False,Λουξεμβούργο,True,False,False,False
LV,DOM,R_HOT,570988.0,8.3,Ξενοδοχείο,Εντός της χώρας,False,Λετονία,True,False,False,False
MT,DOM,R_HOT,218910.0,19.6,Ξενοδοχείο,Εντός της χώρας,False,Μάλτα,True,False,False,False
NL,DOM,R_HOT,11100377.0,14.6,Ξενοδοχείο,Εντός της χώρας,False,Ολλανδία,True,False,False,False
PL,DOM,R_HOT,56883253.0,24.8,Ξενοδοχείο,Εντός της χώρας,False,Πολωνία,True,False,False,False
PT,DOM,R_HOT,7733433.0,13.7,Ξενοδοχείο,Εντός της χώρας,False,Πορτογαλία,True,True,False,False
RO,DOM,R_HOT,18955554.0,29.1,Ξενοδοχείο,Εντός της χώρας,False,Ρουμανία,True,False,False,False
SE,DOM,R_HOT,32287423.0,19.2,Ξενοδοχείο,Εντός της χώρας,False,Σουηδία,True,False,False,False
SI,DOM,R_HOT,1306932.0,17.5,Ξενοδοχείο,Εντός της χώρας,False,Σλοβενία,True,False,False,False
SK,DOM,R_HOT,7485186.0,32.0,Ξενοδοχείο,Εντός της χώρας,False,Σλοβακία,True,False,False,False
AT,DOM,R_OTH,1851295.0,4.4,Άλλο πληρωμένο,Εντός της χώρας,False,Αυστρία,True,False,False,False
BE,DOM,R_OTH,422940.0,2.6,Άλλο πληρωμένο,Εντός της χώρας,False,Βέλγιο,True,False,False,False
BG,DOM,R_OTH,935523.0,6.4,Άλλο πληρωμένο,Εντός της χώρας,False,Βουλγαρία,True,False,False,False
CY,DOM,R_OTH,55067.0,1.2,Άλλο πληρωμένο,Εντός της χώρας,False,Κύπρος,True,True,False,False
CZ,DOM,R_OTH,2369000.0,3.1,Άλλο πληρωμένο,Εντός της χώρας,False,Τσεχία,True,False,False,False
DE,DOM,R_OTH,17060572.0,3.3,Άλλο πληρωμένο,Εντός της χώρας,False,Γερμανία,True,False,False,False
DK,DOM,R_OTH,1400166.0,3.3,Άλλο πληρωμένο,Εντός της χώρας,False,Δανία,True,False,False,False
EE,DOM,R_OTH,193473.0,3.0,Άλλο πληρωμένο,Εντός της χώρας,False,Εσθονία,True,False,False,False
EL,DOM,R_OTH,156554.0,0.3,Άλλο πληρωμένο,Εντός της χώρας,False,Ελλάδα,True,True,True,False
ES,DOM,R_OTH,11314874.0,2.3,Άλλο πληρωμένο,Εντός της χώρας,False,Ισπανία,True,True,False,False
EU27_2020,DOM,R_OTH,161101658.0,5.2,Άλλο πληρωμένο,Εντός της χώρας,False,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,R_OTH,1916327.0,2.4,Άλλο πληρωμένο,Εντός της χώρας,False,Φινλανδία,True,False,False,False
FR,DOM,R_OTH,42290318.0,5.2,Άλλο πληρωμένο,Εντός της χώρας,False,Γαλλία,True,False,False,False
HR,DOM,R_OTH,579511.0,2.9,Άλλο πληρωμένο,Εντός της χώρας,False,Κροατία,True,False,False,False
HU,DOM,R_OTH,754096.0,2.4,Άλλο πληρωμένο,Εντός της χώρας,False,Ουγγαρία,True,False,False,False
IE,DOM,R_OTH,953736.0,3.3,Άλλο πληρωμένο,Εντός της χώρας,False,Ιρλανδία,True,True,False,False
IT,DOM,R_OTH,22101484.0,12.2,Άλλο πληρωμένο,Εντός της χώρας,False,Ιταλία,True,True,False,False
LT,DOM,R_OTH,619210.0,6.7,Άλλο πληρωμένο,Εντός της χώρας,False,Λιθουανία,True,False,False,False
LU,DOM,R_OTH,11908.0,2.3,Άλλο πληρωμένο,Εντός της χώρας,False,Λουξεμβούργο,True,False,False,False
LV,DOM,R_OTH,285512.0,4.2,Άλλο πληρωμένο,Εντός της χώρας,False,Λετονία,True,False,False,False
MT,DOM,R_OTH,18624.0,1.7,Άλλο πληρωμένο,Εντός της χώρας,False,Μάλτα,True,False,False,False
NL,DOM,R_OTH,1998854.0,2.6,Άλλο πληρωμένο,Εντός της χώρας,False,Ολλανδία,True,False,False,False
PL,DOM,R_OTH,35659317.0,15.6,Άλλο πληρωμένο,Εντός της χώρας,False,Πολωνία,True,False,False,False
PT,DOM,R_OTH,412847.0,0.7,Άλλο πληρωμένο,Εντός της χώρας,False,Πορτογαλία,True,True,False,False
RO,DOM,R_OTH,9014706.0,13.8,Άλλο πληρωμένο,Εντός της χώρας,False,Ρουμανία,True,False,False,False
SE,DOM,R_OTH,3315025.0,2.0,Άλλο πληρωμένο,Εντός της χώρας,False,Σουηδία,True,False,False,False
SI,DOM,R_OTH,142366.0,1.9,Άλλο πληρωμένο,Εντός της χώρας,False,Σλοβενία,True,False,False,False
SK,DOM,R_OTH,5268355.0,22.5,Άλλο πληρωμένο,Εντός της χώρας,False,Σλοβακία,True,False,False,False
AT,DOM,TOTAL,42439362.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Αυστρία,True,False,False,False
BE,DOM,TOTAL,16249337.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Βέλγιο,True,False,False,False
BG,DOM,TOTAL,14696375.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Βουλγαρία,True,False,False,False
CY,DOM,TOTAL,4711588.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Κύπρος,True,True,False,False
CZ,DOM,TOTAL,76375833.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Τσεχία,True,False,False,False
DE,DOM,TOTAL,516261595.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Γερμανία,True,False,False,False
DK,DOM,TOTAL,42924104.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Δανία,True,False,False,False
EE,DOM,TOTAL,6518440.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Εσθονία,True,False,False,False
EL,DOM,TOTAL,60443123.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Ελλάδα,True,True,True,False
ES,DOM,TOTAL,493836112.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Ισπανία,True,True,False,False
EU27_2020,DOM,TOTAL,3071388642.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Ευρωπαϊκή Ένωση (27),False,False,False,True
FI,DOM,TOTAL,78990591.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Φινλανδία,True,False,False,False
FR,DOM,TOTAL,812018362.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Γαλλία,True,False,False,False
HR,DOM,TOTAL,20216788.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Κροατία,True,False,False,False
HU,DOM,TOTAL,31882938.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Ουγγαρία,True,False,False,False
IE,DOM,TOTAL,29074843.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Ιρλανδία,True,True,False,False
IT,DOM,TOTAL,181130760.0,100.0,ΣΥΝΟΛΟ,Εντός της χώρας,True,Ιταλία,True,True,False,False
